symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00051000,-0.843,0.06029981,0.06048000,0.05998000,1.13530000,0.05997000,53.29340000,0.05998000,43.19940000,0.06049000,0.06070000,0.05997000,16685.14430000,1006.11110562,1695136783247,1695223183247,423142013,423172792,30780
LTCBTC,-0.00011000,-4.430,0.00243490,0.00248200,0.00237300,0.75300000,0.00237300,50.55800000,0.00237400,25.24200000,0.00248300,0.00249100,0.00236900,93489.93200000,227.63845252,1695136783071,1695223183071,93543482,93559104,15623
BNBBTC,-0.00003500,-0.439,0.00797767,0.00797900,0.00794400,1.44300000,0.00794400,7.17300000,0.00794500,13.16800000,0.00797900,0.00800700,0.00794100,15746.84200000,125.62306449,1695136783258,1695223183258,227208437,227231969,23533
NEOBTC,-0.00000440,-1.572,0.00028043,0.00028000,0.00027550,1.61000000,0.00027560,116.18000000,0.00027580,1.61000000,0.00027990,0.00028550,0.00027540,13814.59000000,3.87406614,1695136783268,1695223183268,45516908,45520942,4035
QTUMETH,0.00000800,0.591,0.00134276,0.00136100,0.00136100,1.70000000,0.00135500,95.20000000,0.00136000,80.10000000,0.00135300,0.00136100,0.00134100,720.80000000,0.96786110,1695136760011,1695223160011,5402174,5402200,27
EOSETH,0.00000210,0.598,0.00035232,0.00035100,0.00035300,19.20000000,0.00035300,684.00000000,0.00035370,542.20000000,0.00035090,0.00035570,0.00034960,11842.30000000,4.17228576,1695136756311,1695223156311,23498135,23498263,129
SNTETH,0.00000052,3.832,0.00001378,0.00001367,0.00001409,438.00000000,0.00001407,4365.00000000,0.00001419,718.00000000,0.00001357,0.00001416,0.00001356,332693.00000000,4.58579946,1695136774343,1695223174343,3906949,3907136,188
BNTETH,-0.00000230,-0.913,0.00025153,0.00025100,0.00024950,158.10000000,0.00025000,627.20000000,0.00025120,134.30000000,0.00025180,0.00025330,0.00024950,1501.40000000,0.37764496,1695136783224,1695223183224,2235238,2235246,9
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573224990,1689659624990,-1,-1,0
GASBTC,-0.00000120,-1.251,0.00009924,0.00009590,0.00009470,22.00000000,0.00009460,39.50000000,0.00009510,56.50000000,0.00009590,0.00010640,0.00009380,174225.20000000,17.29083953,1695136670266,1695223070266,20809347,20814278,4932
BNBETH,0.00050000,0.379,0.13227737,0.13190000,0.13240000,0.01800000,0.13240000,19.53300000,0.13250000,1.16800000,0.13190000,0.13300000,0.13160000,3653.64700000,483.29482170,1695136781158,1695223181158,56306261,56311358,5098
BTCUSDT,-39.11000000,-0.144,27163.98427569,27201.91000000,27162.81000000,0.50000000,27162.80000000,0.07498000,27162.81000000,13.06049000,27201.92000000,27483.57000000,26936.79000000,33085.41352000,898731652.61184480,1695136783695,1695223183695,3215709269,3216569188,859920
ETHUSDT,-16.44000000,-0.999,1636.93109393,1645.69000000,1629.23000000,0.04170000,1629.22000000,8.56920000,1629.23000000,104.96870000,1645.67000000,1659.52000000,1618.48000000,204701.97860000,335083033.75997500,1695136783664,1695223183664,1198371493,1198722028,350536
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573224990,1689659624990,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573224990,1689659624990,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573224990,1689659624990,-1,-1,0
